scenario,week,p05,p10,p25,p50,p75,p90,p95
rate_shock_down,21,4.461269468330155,4.7467523577676145,5.228377337550937,5.748921894932121,6.278594399921847,6.793149947078476,7.070977559826466
rate_shock_down,22,4.4193350211766855,4.713641534492234,5.181822765720089,5.727675103704605,6.268079146826599,6.77183359714501,7.069154488034778
rate_shock_down,23,4.373910189285817,4.676323417252285,5.162446478650951,5.692283720235023,6.249014943309311,6.769878940398887,7.067449348962544
rate_shock_down,24,4.332533835027546,4.626318881881778,5.133759253275282,5.669290594491681,6.228623852285082,6.751311232773152,7.067070214025651
rate_shock_down,25,4.2943181284631455,4.595727254024972,5.099541651021674,5.654583457771639,6.224023893740213,6.753676712667934,7.05985151226311
rate_shock_down,26,4.231650074239459,4.55740496149019,5.067737628454283,5.645098597262791,6.198597419351103,6.739794418459562,7.073052489456565
rate_shock_down,27,4.195881589908009,4.532232435750216,5.047388532092178,5.619434929789632,6.192201622238109,6.735846902666702,7.080282992100545
rate_shock_down,28,4.1573517180673445,4.473032092554081,5.012710964177108,5.605723135201714,6.192877085818503,6.735006163340118,7.077217509422374
rate_shock_down,29,4.115336597114527,4.43400508928473,4.999703801183589,5.588648407366997,6.172264198303687,6.720255602654305,7.079036857577662
rate_shock_down,30,4.051855138967304,4.410028989155763,4.957045735615393,5.573129324199004,6.162350995789728,6.714976261449434,7.058206922851836
rate_shock_down,31,4.02591543581893,4.378347123387042,4.935605864713012,5.541976762557892,6.146505802222087,6.703641232433864,7.050086923133463
rate_shock_down,32,3.9940285050088558,4.3483985911895155,4.893733036007644,5.517159289622654,6.137305369084346,6.703461666871983,7.044376076236465
rate_shock_down,33,3.994414735848548,4.306648777068346,4.883133890340987,5.495328050636584,6.127489706000738,6.682698822628012,7.0303956879509455
rate_shock_down,34,3.9335655301286105,4.285062264636577,4.840477071828588,5.473980814960095,6.119614181893418,6.68879333483381,7.036922327380757
rate_shock_down,35,3.9214416568865245,4.250937365208788,4.8009156800756365,5.462835035675521,6.091024219310812,6.6728714008854855,7.032348645723908
rate_shock_down,36,3.881482820384353,4.230255532604669,4.785023955425433,5.434849020410352,6.085088371039373,6.657431491561492,7.04208025162438
rate_shock_down,37,3.8431329013389677,4.208506283605108,4.76995017285588,5.422255289874524,6.073746956718738,6.642445531951016,7.034003401980445
rate_shock_down,38,3.8162840459768566,4.174632643078042,4.741314411620181,5.396882353039295,6.069106171856565,6.637350964279613,7.044936676246935
rate_shock_down,39,3.809168809937563,4.15005355948547,4.718527341265523,5.377808029502521,6.051814046467088,6.640940036706679,7.035824465142642
rate_shock_down,40,3.761725029778635,4.120515143951369,4.699214197604373,5.368126723414777,6.0444519016857114,6.62964046082952,7.061300620049611
rate_shock_down,41,3.746192410495956,4.08233919047497,4.685830099605231,5.334457644559881,6.025596633444957,6.621720515617961,7.03949255626854
rate_shock_down,42,3.6986465179190104,4.034660352838149,4.644354708211785,5.324615649663487,6.002088182710576,6.6254989517038485,7.002423479611592
rate_shock_down,43,3.668503948020904,4.0219604285959685,4.623806984252109,5.310831835395412,5.982885849959058,6.635141471172131,6.99258970909719
rate_shock_down,44,3.65377345329335,4.009378465169701,4.609420991180093,5.291686638272379,5.980641742466362,6.618591314948468,7.003705267478885
rate_shock_down,45,3.642156186747919,3.9885060631253535,4.5875099021995736,5.2798391326624365,5.976231967833698,6.6087720153355916,7.007549149320535
rate_shock_down,46,3.592655308934745,3.9618750949443293,4.5505522182433005,5.258123495878262,5.966142466028872,6.591818206360488,6.988949512476034
rate_shock_down,47,3.5588681369188553,3.9270717271251496,4.542440009498754,5.247227213689021,5.950602407487894,6.588108931600637,6.99717954320909
rate_shock_down,48,3.520022267918037,3.895100470616032,4.5213836792169495,5.242328896785187,5.93611315546052,6.599978017923873,6.979272670785034
rate_shock_down,49,3.4743616126878067,3.87821304876958,4.49525992058148,5.2277026510316915,5.914217226957901,6.577048376555432,6.955538849743962
rate_shock_down,50,3.472705483735077,3.8544040178671306,4.466769841994725,5.201680193764455,5.9153642541440234,6.551205505301444,6.949603369509309
rate_shock_down,51,3.451288667463498,3.8368434928688524,4.4523064599236175,5.1864490472864055,5.896170194470297,6.556598106892328,6.930607576144763
rate_shock_down,52,3.3928667547617937,3.7984314856806227,4.436578237833793,5.179761395892453,5.889670016380371,6.53966485976189,6.906556809896394
rate_shock_up,1,5.979022588139691,6.0368654956465635,6.146541160368995,6.27117707429389,6.389645820184216,6.4991496337382495,6.569927250824635
rate_shock_up,2,5.869758219278861,5.966069600851695,6.113044797228873,6.2882666630756745,6.460672911079311,6.617984129903038,6.726096726890457
rate_shock_up,3,5.804871684193983,5.908621422296521,6.093193151601678,6.3138082326606,6.5335303626243375,6.726330991438436,6.841888408097063
rate_shock_up,4,5.744221160762239,5.874218947795347,6.09041104087475,6.34264264219474,6.589847755630286,6.814041013800037,6.953560985499822
rate_shock_up,5,5.702087746274419,5.848440888770832,6.085578072763884,6.367447624486702,6.647691235584983,6.894801082585272,7.060930999295939
rate_shock_up,6,5.684318544971005,5.8268264317292084,6.089574386979054,6.387144892354989,6.700599995675971,6.960860866451739,7.119813597220812
rate_shock_up,7,5.655860229636854,5.816924137150836,6.086721994297302,6.415081588154617,6.7511764675938455,7.038118150857326,7.205403483721589
rate_shock_up,8,5.639755818246183,5.7949717825340805,6.0891490954542205,6.444856632040885,6.788790818769978,7.099769324307203,7.297536723117833
rate_shock_up,9,5.601464442618693,5.782990528858098,6.092947955899869,6.465079270714864,6.831294764825246,7.160288293617241,7.362936534762798
rate_shock_up,10,5.5682113684816805,5.771314400700981,6.095641499011947,6.488418722625347,6.878317770897706,7.225557983401291,7.449126330978516
