week,p05,p10,p25,p50,p75,p90,p95,economic_view
14,5.420894707841002,5.641101239248262,5.9693650406938765,6.310569724046215,6.681615208587602,7.055749857030178,7.278722251871818,soft_landing_view
15,5.382347038818622,5.615592551235965,5.948977021675486,6.311963886399943,6.688084188020394,7.059425824167625,7.263735005882805,soft_landing_view
16,5.356410952568293,5.60350047995508,5.940127965963848,6.313675509795711,6.6979934894455635,7.064559937957657,7.300292882467478,soft_landing_view
17,5.338217295242083,5.580939733125275,5.941201046462896,6.308004962539075,6.7104128983050595,7.077986810917577,7.3386511961761745,soft_landing_view
18,5.341856861990378,5.580479101025721,5.926823266738409,6.314967813380861,6.714268529674513,7.107301277812853,7.349402080580434,soft_landing_view
19,5.329344890851863,5.5555780832779895,5.919442559494092,6.311893393237472,6.711462090122545,7.104308804646378,7.375582591739385,soft_landing_view
20,5.3041997714713025,5.550214510284307,5.920067878429511,6.314130470074945,6.7313175968080055,7.1383894849703875,7.39857389409343,soft_landing_view
21,5.324189416534616,5.539798933653995,5.910960977046693,6.302778840994412,6.728382777192126,7.138525532504948,7.434453806398222,soft_landing_view
22,5.287080089414934,5.525849545689788,5.903815221031097,6.318023457732169,6.741307492234831,7.154908150474985,7.443858057025515,soft_landing_view
23,5.291454414952146,5.518884066407876,5.90544107919743,6.327310433228397,6.748469228757358,7.188985251467897,7.44787996033887,soft_landing_view
24,5.265427164749015,5.488656971042761,5.897279931381448,6.315548075082624,6.734453055930089,7.185515393449898,7.4806830748630055,soft_landing_view
25,5.2368424018359905,5.462968952134565,5.891590475465117,6.309160987677622,6.7355366009037345,7.204388971008114,7.49489656033277,soft_landing_view
26,5.206772612154836,5.448569954942227,5.880455032008883,6.305226946223536,6.752373416366477,7.209149021491935,7.508777499950154,soft_landing_view
27,5.229379672846704,5.468254506063598,5.869780011704306,6.310464825840169,6.777841591296507,7.219862754631043,7.517483298470447,soft_landing_view
28,5.193402366196146,5.472370339683841,5.8653236557312285,6.3165165822391875,6.783858090397988,7.239595912832001,7.5178796898894715,soft_landing_view
