dataset_name,target_col,feature_name
dgs10_long_4w,target_dgs10_chg_4w,vixcls_roll_mean_4w
dgs10_long_4w,target_dgs10_chg_4w,vixcls_roll_mean_12w
dgs10_long_4w,target_dgs10_chg_4w,vixcls_roll_std_4w
dgs10_long_4w,target_dgs10_chg_4w,vixcls_roll_std_12w
dgs10_long_12w,target_dgs10_chg_12w,DGS10
dgs10_long_12w,target_dgs10_chg_12w,DGS2
dgs10_long_12w,target_dgs10_chg_12w,DGS3MO
dgs10_long_12w,target_dgs10_chg_12w,DGS5
dgs10_long_12w,target_dgs10_chg_12w,DGS30
dgs10_long_12w,target_dgs10_chg_12w,DFII10
dgs10_long_12w,target_dgs10_chg_12w,T10YIE
dgs10_long_12w,target_dgs10_chg_12w,FEDFUNDS
dgs10_long_12w,target_dgs10_chg_12w,CPIAUCSL
dgs10_long_12w,target_dgs10_chg_12w,CPILFESL
dgs10_long_12w,target_dgs10_chg_12w,PCEPI
dgs10_long_12w,target_dgs10_chg_12w,PCEPILFE
dgs10_long_12w,target_dgs10_chg_12w,UNRATE
dgs10_long_12w,target_dgs10_chg_12w,PAYEMS
dgs10_long_12w,target_dgs10_chg_12w,INDPRO
dgs10_long_12w,target_dgs10_chg_12w,VIXCLS
dgs10_long_12w,target_dgs10_chg_12w,yield_curve_10y_2y
dgs10_long_12w,target_dgs10_chg_12w,yield_curve_10y_3mo
dgs10_long_12w,target_dgs10_chg_12w,yield_curve_30y_10y
dgs10_long_12w,target_dgs10_chg_12w,breakeven_real_gap
dgs10_long_12w,target_dgs10_chg_12w,dgs10_chg_1w
dgs10_long_12w,target_dgs10_chg_12w,dgs10_chg_4w
dgs10_long_12w,target_dgs10_chg_12w,dgs2_chg_1w
dgs10_long_12w,target_dgs10_chg_12w,dgs2_chg_4w
dgs10_long_12w,target_dgs10_chg_12w,dgs3mo_chg_1w
dgs10_long_12w,target_dgs10_chg_12w,dgs3mo_chg_4w
dgs10_long_12w,target_dgs10_chg_12w,dgs5_chg_1w
dgs10_long_12w,target_dgs10_chg_12w,dgs5_chg_4w
dgs10_long_12w,target_dgs10_chg_12w,dgs30_chg_1w
dgs10_long_12w,target_dgs10_chg_12w,dgs30_chg_4w
dgs10_long_12w,target_dgs10_chg_12w,dgs10_roll_mean_4w
dgs10_long_12w,target_dgs10_chg_12w,dgs10_roll_mean_12w
dgs10_long_12w,target_dgs10_chg_12w,dgs10_roll_std_4w
dgs10_long_12w,target_dgs10_chg_12w,dgs10_roll_std_12w
dgs10_long_12w,target_dgs10_chg_12w,vixcls_chg_1w
dgs10_long_12w,target_dgs10_chg_12w,vixcls_chg_4w
dgs10_long_12w,target_dgs10_chg_12w,vixcls_roll_mean_4w
dgs10_long_12w,target_dgs10_chg_12w,vixcls_roll_mean_12w
dgs10_long_12w,target_dgs10_chg_12w,vixcls_roll_std_4w
dgs10_long_12w,target_dgs10_chg_12w,vixcls_roll_std_12w
spread_long_1w,target_spread_chg_1w,mortgage_spread
spread_long_1w,target_spread_chg_1w,MORTGAGE30US
spread_long_1w,target_spread_chg_1w,DGS10
spread_long_1w,target_spread_chg_1w,DGS2
spread_long_1w,target_spread_chg_1w,DGS3MO
spread_long_1w,target_spread_chg_1w,DGS5
spread_long_1w,target_spread_chg_1w,DGS30
spread_long_1w,target_spread_chg_1w,FEDFUNDS
spread_long_1w,target_spread_chg_1w,BAA
spread_long_1w,target_spread_chg_1w,AAA
spread_long_1w,target_spread_chg_1w,NFCI
spread_long_1w,target_spread_chg_1w,VIXCLS
spread_long_1w,target_spread_chg_1w,UNRATE
spread_long_1w,target_spread_chg_1w,CPIAUCSL
